,ticker,date,trade
190,APO,2023-04-04,
191,APOG,2023-04-04,
192,APP,2023-04-04,0.0
193,APPF,2023-04-04,
194,APPN,2023-04-04,0.0
195,APPS,2023-04-04,0.0
196,APTV,2023-04-04,
197,AQUA,2023-04-04,
198,AR,2023-04-04,
199,ARCB,2023-04-04,
200,ARCC,2023-04-04,
201,ARCH,2023-04-04,
202,ARCT,2023-04-04,
203,ARE,2023-04-04,
204,ARES,2023-04-04,
205,ARGO,2023-04-04,
206,ARHS,2023-04-04,
207,ARI,2023-04-04,
208,ARIS,2023-04-04,
209,ARKO,2023-04-04,
210,ARKR,2023-04-04,
211,ARL,2023-04-04,
212,ARLO,2023-04-04,0.0
213,ARLP,2023-04-04,0.0
214,ARMK,2023-04-04,
215,ARNC,2023-04-04,
216,AROC,2023-04-04,
217,AROW,2023-04-04,
218,ARQT,2023-04-04,
219,ARR,2023-04-04,
220,ARRY,2023-04-04,
221,ARTNA,2023-04-04,
222,ARVN,2023-04-04,
223,ARW,2023-04-04,
224,ARWR,2023-04-04,
225,ASAN,2023-04-04,0.0
226,ASB,2023-04-04,
227,ASCA,2023-04-04,
228,ASGN,2023-04-04,
229,ASH,2023-04-04,
230,ASIX,2023-04-04,
231,ASLE,2023-04-04,
232,ASO,2023-04-04,
233,ASPN,2023-04-04,0.0
234,ASRT,2023-04-04,
235,ASTC,2023-04-04,
236,ASTE,2023-04-04,
237,ASUR,2023-04-04,
238,ASYS,2023-04-04,
239,ATEC,2023-04-04,
240,ATEN,2023-04-04,
241,ATEX,2023-04-04,0.0
242,ATGE,2023-04-04,
243,ATI,2023-04-04,
244,ATKR,2023-04-04,
245,ATLC,2023-04-04,
246,ATLO,2023-04-04,
247,ATNI,2023-04-04,
248,ATNM,2023-04-04,
249,ATO,2023-04-04,
250,ATOM,2023-04-04,0.0
251,ATR,2023-04-04,
252,ATRC,2023-04-04,
253,ATRI,2023-04-04,
254,ATRO,2023-04-04,
255,ATSG,2023-04-04,
256,ATVI,2023-04-04,
257,ATXS,2023-04-04,
258,AUB,2023-04-04,
259,AUBN,2023-04-04,
260,AUPH,2023-04-04,
261,AURA,2023-04-04,0.0
262,AURC,2023-04-04,
263,AVA,2023-04-04,0.0
264,AVAV,2023-04-04,
265,AVB,2023-04-04,
266,AVD,2023-04-04,
267,AVDX,2023-04-04,
268,AVGO,2023-04-04,
269,AVNS,2023-04-04,
270,AVNT,2023-04-04,
271,AVNW,2023-04-04,
272,AVO,2023-04-04,
273,AVT,2023-04-04,0.0
274,AVTA,2023-04-04,
275,AVTE,2023-04-04,
276,AVTR,2023-04-04,
277,AVXL,2023-04-04,
278,AVY,2023-04-04,
279,AWI,2023-04-04,
280,AWK,2023-04-04,
281,AWR,2023-04-04,
282,AX,2023-04-04,
283,AXGN,2023-04-04,
284,AXL,2023-04-04,
285,AXNX,2023-04-04,
286,AXON,2023-04-04,
287,AXP,2023-04-04,
288,AXR,2023-04-04,
289,AXS,2023-04-04,
290,AXSM,2023-04-04,
291,AXTA,2023-04-04,
292,AYI,2023-04-04,
293,AYX,2023-04-04,
294,AZEK,2023-04-04,
295,AZTA,2023-04-04,
296,AZZ,2023-04-04,
297,B,2023-04-04,
298,BAC,2023-04-04,
299,BAFN,2023-04-04,
300,BAH,2023-04-04,
301,BALL,2023-04-04,
302,BALY,2023-04-04,0.0
303,BANC,2023-04-04,
304,BAND,2023-04-04,
305,BANF,2023-04-04,
306,BANR,2023-04-04,
307,BASE,2023-04-04,
308,BATL,2023-04-04,0.0
309,BAX,2023-04-04,
310,BBCP,2023-04-04,
311,BBDC,2023-04-04,
312,BBSI,2023-04-04,
313,BBW,2023-04-04,
314,BBY,2023-04-04,
315,BC,2023-04-04,
316,BCBP,2023-04-04,0.0
317,BCC,2023-04-04,
318,BCML,2023-04-04,
