ticker,bm,mom12m,roeq,siccd
A,0.1211244268171422,0.17178209624734686,0.07228442349243763,3826
AA,0.5934319439256907,-0.31735535051052755,-0.07354310184323218,3334
AADI,0.33439387995902975,-0.2620967741935484,-0.13311873447990435,2834
AAN,1.1459641717333342,-0.3176190476190476,-0.02167344655821616,7359
AAON,0.12865723602278226,0.2815660909653892,0.07425294640914142,3585
AAP,0.31170611969940165,-0.2568323638819723,0.03928315676113509,5531
AAPL,0.020452625768013023,-0.10964185981142804,0.592003473318598,3571
AAT,0.7610207004939982,-0.21519846206038673,0.007826177421530968,6798
AAWW,1.0512258863874426,0.3213174273858921,0.0429669279009692,4522
AB,0.46257032710034296,-0.12298809944621192,0.040630751324895034,6282
ABBV,0.06521318995277699,0.015734581360145494,0.15462048268100537,2834
ABC,0.008678062927303826,0.1673716874130613,0.7395190701951085,5122
ABCB,0.962648276225648,-0.05071308896244531,0.02636074214429301,6022
ABCL,0.4822140311143425,0.2049272116461367,-0.023911109831287216,2834
ABG,0.5749603791307631,0.1215285028189601,0.13364107609065798,5500
ABM,0.5722902564758376,0.04823959762231356,0.029042432898887104,7340
ABNB,0.06595996980234424,-0.2524340705396867,0.05751898509350673,7340
ABOS,1.1939369425816875,-0.047202797202797075,-0.05185963519095095,2836
ABT,0.19893979894042946,-0.08592853698684799,0.028787203210344444,2834
AC,1.031483593599409,-0.06080913378009423,-0.018593611587591034,6211
ACAD,0.12722567927434228,-0.27574102964118563,-0.09801825758892704,2834
ACCD,1.9777829219701668,-0.3630717108977979,-0.07874955067408762,7389
ACCO,1.5902317768409315,-0.258149568552253,0.024062460002559835,2780
ACET,0.5860893706699177,-0.34788937409024745,-0.07500332461545281,2834
ACHC,0.4248047652846195,0.48770203794799727,0.02227788088236795,8093
ACI,0.1896662769233075,-0.041913460234208944,0.08559379986323228,5411
ACIW,0.4277763923830959,-0.18751822688830566,0.07530194889736075,7372
ACLS,0.16519487403565913,0.5904377880184333,0.09268649677178031,3559
ACMR,0.423981930947531,-0.5433773260702666,0.032066930786787885,3559
ACN,0.13287503677986187,-0.12729962387674487,0.08888724228433449,7389
ACNB,0.9599634757099826,0.19773462783171514,0.04179215648175135,6022
ACNT,0.6201733400880486,-0.332541567695962,0.004660751097965403,3317
ACRE,1.1332365360079837,-0.03827977315689968,0.0037936217615702206,6798
ACRS,0.2320396365184767,0.1395045632333769,-0.12570620183953637,2834
ACT,1.0404502935868631,0.24698310539018498,0.03492987112921279,6411
ACU,0.6487190036050792,-0.276034898830518,0.0008017739248086392,3420
ACVA,0.28400988031015983,-0.2417750573833206,-0.045898015184276615,7389
ADBE,0.08912376477861798,-0.20369893027452002,0.08182007931538302,7372
ADEA,0.2907932166447582,0.18020976798389676,0.07429561249794688,3674
ADI,0.42509931112361254,0.06848359548302363,0.026366803332579833,3674
ADM,0.5425945798866968,0.07417213411169099,0.042407091431187316,2070
ADNT,0.5546619860879504,-0.058747300215982734,0.005788712011577424,3714
ADP,0.03177037323219545,0.10100526567735768,0.315583155443431,7374
ADPT,0.37336061727923653,-0.3436185133239832,-0.08225647753361758,2836
ADSK,0.02070671842499828,-0.03979601129223209,0.26756756756756755,7372
ADT,0.49650660149240733,0.19577308120133474,0.04722478790740084,7381
ADTN,0.35207400195592525,-0.08797811538273648,-0.12031434252317544,3661
ADUS,0.3615847201851525,0.2541254125412542,0.02400961555664347,8082
AE,1.067099469603939,0.5484493009802347,0.01307837469842104,5172
AEE,0.46609096834515296,0.04016035507194515,0.01597882560533281,4931
AEHR,0.11112621857742387,1.7501945525291833,0.07230482549788424,3825
AEIS,0.292955327298417,0.06516951376764468,0.04421871509481071,3679
AEO,0.47343946385260005,-0.24823580240986987,0.0591963278348458,5651
AEYE,0.2787205912316786,0.026022304832713727,-0.175764108091462,7372
AFBI,1.2032210013747304,-0.045769230769230784,0.01613057007393539,6036
AFCG,0.7137015186813772,-0.12924638812963685,0.033945909549801936,6500
AFRM,0.3775551385269639,-0.5856085736157184,-0.12578303044583095,7389
AGCO,0.3683823574572243,0.2234185376883535,0.09152369048971708,3523
AGIO,0.764065283436841,-0.0012991230919129348,0.034781035451403104,2834
AGL,0.1195063666177808,0.012315270935960632,-0.052003238114709936,8090
AGR,1.2222506616658213,-0.025160173969976163,0.007596506640483696,4911
AGS,0.14288638232797887,-0.24514563106796117,0.013013286675050577,3990
AGTI,0.37237140992203127,0.05017103762827846,0.002101138987490092,7350
AGX,0.5550586802641826,0.016075461671316793,0.027923248858127005,1700
AGYS,0.10155237065790719,1.0184779965961583,0.036512374054824846,7373
AI,0.48859748772017336,-0.17769551133734385,-0.0703284445615734,7372
AIMC,0.7184426352545349,0.41071841071841075,0.01728128375250733,3569
AIN,0.2738653084395546,0.26737905119774563,0.022217973887446906,2221
AIP,0.1454117045433272,-0.624113475177305,-0.16810325968059506,3674
AIR,0.6710187674751538,0.15190454336851777,0.02170767004341534,3720
AIRC,0.22657146542399842,-0.2495217056862784,0.000824873185712765,6798
AIRG,0.5426789879641926,-0.18950749464668093,-0.03074701761030108,3663
AIRS,0.11304352315714396,-0.5833951074870274,-0.07571356727186887,8011
AIT,0.26323080556724593,0.4068914219086104,0.0658706117369662,5080
AJG,0.2210144232133014,0.23091481848436346,0.01580396090414985,6411
AJRD,0.11949155195423043,0.5078420767982694,0.030660826509236336,3760
AKAM,0.3843056601486595,-0.17003702648817998,0.04176950494001678,7389
AKR,0.7668434010578615,-0.24937487978457396,-0.03302056230252415,6798
AKRO,0.2683278178320225,1.7361111111111112,-0.23954654517024776,2834
