date,best,worst
2005-01,-0.010468156569404516,-0.09976787811508983
2005-02,0.027504942150553678,-0.028976725740358228
2005-03,-0.016648070500232273,-0.09148327288392463
2005-04,-0.024310675273882216,-0.10915230779617557
2005-05,0.04271243743161902,0.06768883729353546
2005-06,0.057867658303002806,0.016049115544883533
2005-07,0.052538572732591986,0.056408307578094535
2005-08,-0.013110279593820445,-0.041443167227553195
2005-09,0.009592712673388766,-0.02685000523924827
2005-10,0.0024303822388173977,-0.0803340674517676
2005-11,0.037019842345325724,0.023639357600768567
2005-12,0.0026416688680456,-0.012061385304987184
2006-01,0.06524449232936602,0.07197991391003597
2006-02,-0.004639541760552678,0.0011987024385598567
2006-03,0.04611333351582287,0.03969292567315278
2006-04,0.010388610914815214,0.0013965857824782962
2006-05,-0.015065128286660168,-0.07171752572525292
2006-06,0.0027845281950430955,-0.012617702773131886
2006-07,-0.01105022918403846,-0.06234159351617562
2006-08,0.027111149289412412,0.03241585525048252
2006-09,0.0190451101437793,0.005668766013259305
2006-10,0.03638990499253849,0.07953415389347354
2006-11,0.017606498220411593,0.023499875458655884
2006-12,0.014781700060630083,0.009553221325786575
2007-01,-0.007199834502534931,0.060902099857194116
2007-02,-0.01811729303371975,0.0002018019126262602
2007-03,-0.002954112908046224,-0.019588046603021207
2007-04,-0.01057022265085833,0.025390432400163268
2007-05,0.009231210246507535,0.006416799152502796
2007-06,-0.015667234581778745,-0.002474191399087419
2007-07,-0.07641842867771627,-0.054601234811125304
2007-08,0.0078634134902677,-0.03892882456075312
2007-09,0.00773799247681917,0.004268105086957808
2007-10,-0.01955029171542264,0.02320203909999691
2007-11,-0.0440747277549235,-0.13001114906568545
2007-12,-0.021879155428589443,-0.06458460529538568
2008-01,-0.011390882983105248,-0.050954386930097816
2008-02,-0.04780484391980279,-0.06110252513084559
2008-03,0.005029924422560722,-0.04996667232248
2008-04,0.002996018824560455,-0.001185643578646699
2008-05,0.02703166573046473,0.04213341661263256
2008-06,-0.06628313472720035,-0.12551649159751832
2008-07,0.08288119837002339,-0.03414130811986979
2008-08,0.028346144739771248,0.0028545108842081396
2008-09,0.019963714885525407,-0.15889763479848623
2008-10,-0.10016824806778457,-0.26707877211971204
2008-11,-0.08857379803230286,-0.17825168817827944
2008-12,0.0109701318576117,0.014750049870926889
2009-01,-0.10357477453289901,0.015143337885383525
2009-02,-0.11377080429767374,-0.11434462797245941
2009-03,0.08028685511439106,0.13630551663693038
2009-04,0.08934185546764636,0.2683608703548089
2009-05,0.030298496700124807,0.1369029629207216
2009-06,0.011060212578449866,0.08357959713903255
2009-07,0.05308591027103829,0.09936453393660484
2009-08,0.003278774978825826,0.06268927438766696
2009-09,0.022678243504051343,0.15453135700838175
2009-10,-0.044426014315104095,-0.10208213302306829
2009-11,0.012378511093120319,0.014908002649899575
2009-12,0.04297741994087117,0.08599390122748446
2010-01,-0.03419396681711075,0.1599513177468907
2010-02,0.04896833111655722,0.004141278132156012
2010-03,0.07690993634401819,0.05788210015860385
2010-04,0.08609875205962451,0.23707672701915727
2010-05,-0.08367913068374033,-0.14244176267347938
2010-06,-0.07271206400462593,-0.16255102491471912
2010-07,0.07628296071954535,0.047826495182234786
2010-08,-0.05798092817567519,-0.106061018689943
2010-09,0.11690750168607333,0.1046573484642431
2010-10,0.07489663548927634,0.03175178763340227
2010-11,0.06051771949307293,-0.028472935657046033
2010-12,0.07804276392067547,0.11163309016264973
2011-01,0.038943227667623426,0.08714311972831638
2011-02,0.04451235272368646,-0.012349425451975544
2011-03,0.02185434416154747,-0.020094292189460235
2011-04,0.010672000870690677,-0.003522473332122898
2011-05,-0.019093409524102746,-0.017398304287344207
2011-06,-0.005269251768279884,-0.07496100270655004
2011-07,-0.023587708812265174,-0.04185526370827573
2011-08,-0.05492599733323003,-0.15489620267646387
2011-09,-0.0783196963195223,-0.16238396115484643
2011-10,0.09422210146673021,0.12321024974255122
2011-11,-0.002572311716357947,-0.0709572094833129
2011-12,0.016522898384719154,0.005808514188684062
2012-01,0.04486123439106448,0.18857009655330326
2012-02,0.035960431160056025,0.06401798111248352
2012-03,0.009976892672129905,0.055650373254320575
2012-04,-0.007442572097334046,-0.0028427271748660086
2012-05,-0.09884763177120474,-0.0749557316751452
2012-06,0.06812175664759705,0.0026607594080269342
2012-07,-0.015400752268469653,-0.01878996890329289
2012-08,0.03316743214105371,0.017914677248336376
2012-09,0.03511075293616157,0.08212838489056593
2012-10,-0.0030830283829709456,-0.05756773706409147
2012-11,-0.009532586323621204,0.0054519090400572175
2012-12,0.02486145021277478,0.031805346395121885
2013-01,0.07613280948251484,0.11718999310454818
2013-02,0.00690488999142871,-0.011002567010000346
2013-03,0.043538458818657075,0.05816792013050872
2013-04,0.010269258181942869,0.006687638557705219
2013-05,0.04569745042594149,0.07137656718085053
2013-06,0.001146998068725225,-0.030790955433913036
2013-07,0.08697821414795723,0.11319092006655408
2013-08,-0.030685966749442718,-0.033861606162972735
2013-09,0.048166455320751964,0.06765441400952113
2013-10,0.039691727295867146,-0.006709763733088034
2013-11,0.041203111939830686,0.07036887091759125
2013-12,0.015315055618702894,0.01744964233279461
2014-01,-0.017866941595857486,0.023061674255877743
2014-02,0.04866789361331028,0.06063781067059607
2014-03,0.022086399904487512,-0.03743006867473013
2014-04,-0.0205245606380049,-0.08890902656421529
2014-05,-0.00047501301349256995,-0.017376713539124466
2014-06,0.04219248037552458,0.02957510620311949
2014-07,-0.048819196639160484,-0.050081835724995444
2014-08,0.03315869580532305,0.030541654325206752
